Location,Scenario,Contextual_Similarity
Upscale Hotel Lobby,Causing a Public Scene,0.7513
Living Room,Destroying a child's belief in Santa Claus,0.7513
Diner,Explaining to the mafia boss why the pizza is late,0.7513
Elevator,Discovering a Conspiracy,0.7513
City,Panicking and throwing your keys into a river,0.7513
Hospital Room,Falling in Love at First Sight,0.7513
Restaurant,Accidentally wearing a Halloween costume to a black-tie wedding,0.7513
Coffeehouse,Getting Lost Without a Map,0.7513
Pharmacy,Dropping the bride's ring down a sewer grate,0.7513
Barbershop,First Day at a New Job,0.7513
Small Town,Destroying a child's belief in Santa Claus,0.7513
River,Interrupting a moment of silence with a loud ringtone,0.7512
Amusement Park,Telling a crying child that life isn't fair,0.7512
City Bus,Escaping a boring date through the bathroom window,0.7512
Boarding School,Camping Trip Where Everything Goes Wrong,0.7512
Underwater,Getting caught practicing a cool entrance in the mirror,0.7512
Motel,Office Holiday Party,0.7512
Ancient Ruins,Purchasing a haunted antique that won't stop screaming,0.7512
Courthouse,Breaking a priceless vase at a museum and trying to glue it back,0.7512
Hospital,Calling a partner by the wrong name during an argument,0.7512
Casino,Starting a Bar Fight,0.7512
Kitchen,Forgetting to wear pants to a Zoom meeting and standing up,0.7512
Rock Concert,Cleaning Up After a Massive Party,0.7512
College Campus,Getting Caught Talking to Yourself,0.7512
Race Track (Horses),Navigating a foreign city with a broken map and no language skills,0.7512
Garden,Escaping a boring party by crawling through a vent,0.7512
Police Car,Making a dramatic exit by walking into a closet,0.7512
Taxi,Lying about being able to speak French in Paris,0.7512
Virtual Reality World,Emergency Evacuation,0.7512
Bank Vault,Lost in Translation,0.7512
Circus,Falling in Love at First Sight,0.7512
Church,Walking out of a restaurant without paying and returning out of guilt,0.7512
Hospital,Trying to break a curse by kissing a frog,0.7512
Courtroom,Interrupting a Wedding,0.7512
Office Cubicle,Complaining About the Boss to the Boss,0.7512
Elementary School Classroom,Explaining why you are wearing your friend's clothes,0.7512
Photography Studio,Discovering a secret room behind a bookcase,0.7512
On the phone,Losing the winning lottery ticket in the trash,0.7512
Theater,Being trapped in a sleeping bag during a bear attack,0.7512
Attic,Having a shouting match with a parrot,0.7512
Courthouse,Office Holiday Party,0.7512
Movie Set,Fleshing Out a Heist Plan,0.7512
Laboratory,Hacking a Secure System,0.7512
Bridge,Spitting out terrible food into a napkin while the chef watches,0.7512
Video Arcade,Swimming in a public fountain,0.7512
Rooftop,Trapped in a revolving door with a mime,0.7512
Laboratory,Accidentally wearing a Halloween costume to a black-tie wedding,0.7512
Online,Accidentally hitting 'Reply All' with a spicy meme,0.7512
Prison,Insisting that birds aren't real at a bird-watching convention,0.7512
Diner,Taking a bite out of a decorative wax apple,0.7512
Castle,Spilling coffee on a priceless piece of art,0.7512
Elevator,Hiding a Fugitive,0.7512
Car Accident Site,Discovering a Conspiracy,0.7512
International Space Station,Making a Scene in a Restaurant,0.7512
Sewers,Trying to break a curse by kissing a frog,0.7512
Desert,Emergency Evacuation,0.7512
Waiting Room,Spilling red wine on a white carpet,0.7512
Swamp,Navigating a foreign city with a broken map and no language skills,0.7512
Trailer Park,Lost in Translation,0.7512
Laboratory,Not knowing how to use a manual can opener,0.7512
Art Studio,Spilling red wine on a white carpet,0.7512
Courthouse,Accidentally promising to cook a five-course meal for 20 people,0.7512
Nightclub,Navigating a foreign city with a broken map and no language skills,0.7512
Forest,Tripping over nothing and acting like you meant to do it,0.7512
Rock Concert,Sending an event announcement with a massive typo to the entire university,0.7512
Airplane,Calling a partner by the wrong name during an argument,0.7512
City,Trying to hide the fact that you live in your car during a date,0.7512
Funeral Home,Walking in on a crime scene,0.7512
Train Station,Attempting to bring a sword through airport security,0.7512
Online,Getting Stood Up,0.7512
Spaceship,Running Out of Gas,0.7512
Library,Walking in on a crime scene,0.7511
Shopping Mall,Waking up in a different country with no memory of how you got there,0.7511
Pharmacy,Discovering a secret room behind a bookcase,0.7511
University Lecture Hall,Murder Mystery Dinner,0.7511
Prison Cell,Trying to defuse a bomb with safety scissors,0.7511
Woods,Destroying a child's belief in Santa Claus,0.7511
Jungle,Negotiating a Ransom,0.7511
College Campus,Catching the Bouquet (and Regretting It),0.7511
Graveyard,Trying to build a time machine out of garbage,0.7511
Birthday Party,Ruining the Bride's Dress,0.7511
Movie Set,Being trapped in a sleeping bag during a bear attack,0.7511
Cruise Ship,Trying to sneak out of a house party with a stolen bottle of wine,0.7511
Lighthouse,Trying to start a fire by rubbing two sticks together,0.7511
Teacher's Lounge,Playing hide and seek and falling asleep,0.7511
Psychiatric Ward,Hacking a Secure System,0.7511
On the phone,Trying to use a Jedi mind trick on a stubborn bouncer,0.7511
Movie Set,Accidentally destroying a child's sandcastle masterpiece,0.7511
Space Station,Fleshing Out a Heist Plan,0.7511
Sporting Event,Opening someone else's mail and finding a ransom note,0.7511
Train Station,Calling a partner by the wrong name during an argument,0.7511
Harbor,Getting Lost Without a Map,0.7511
Prison Cell,Robbing a bank with a banana,0.7511
Amusement Park,Navigating a foreign city with a broken map and no language skills,0.7511
Elevator,Accidentally muting the CEO during a company-wide call,0.7511
Rock Concert,Getting caught taking selfies at a somber historical monument,0.7511
Courtroom,Getting Roasted by a Comedian,0.7511
Airplane,Trying to hide a dead body in a shallow grave,0.7511
On the phone,Entering a hot dog eating contest to impress a vegetarian,0.7511
River,Getting Lost Without a Map,0.7511
City Bus,Going on a Spontaneous Road Trip,0.7511
Car Accident Site,Attempting to perform open-heart surgery using a YouTube tutorial,0.7511
Hotel Room,Negotiating a ride hitchhiking with a very strange driver,0.7511
Rock Concert,Arguing with a street performer,0.7511
Movie Theater,Escaping a boring date through the bathroom window,0.7511
Casino,First Day at a New Job,0.7511
Train Station,Trapped in a tent with a friend who won't stop talking,0.7511
Clock Tower,Escaping a boring party by crawling through a vent,0.7511
Courtroom,Using a t-shirt cannon at a funeral,0.7511
Shopping Mall,Not knowing how to use a manual can opener,0.7511
Courtroom,Lying about knowing martial arts to intimidate a mugger,0.7511
Alley,Finding a treasure map on the back of a fast-food receipt,0.7511
Island,Trying to convince the group you aren't horribly seasick,0.7511
Military Helicopter,Trapped in a revolving door with a mime,0.7511
Salvage Yard,Opening someone else's mail and finding a ransom note,0.7511
Tree House,Taking a bite out of a decorative wax apple,0.7511
Home Office,Trying to unionize the office while the CEO is in the room,0.7511
Beach Party,Staging an Intervention,0.7511
International Space Station,Pretending to understand a foreign film,0.7511
Amusement Park,House Party That Got Out of Hand,0.7511
International Space Station,Hiding in a retail store until after it closes,0.7511
Subway Tunnel,Discovering a Conspiracy,0.7511
Restaurant,Planning a Prison Escape,0.7511
Circus,Explaining to your landlord why there is a horse in your apartment,0.7511
Shopping Mall,Trying to expense a deeply inappropriate purchase,0.7511
Beach Party,Being challenged to a dance battle by a group of teenagers,0.7511
Garage Sale,Buying a supposedly haunted car that just plays bad 80s music,0.7511
Secret Passageway,Trapped in a revolving door with a mime,0.751
Police Car,Bribing a health inspector with stale cookies,0.751
Online,Discovering a Conspiracy,0.751
Fast Food Restaurant,Playing hide and seek and falling asleep,0.751
Kitchen,Breaking a priceless vase at a museum and trying to glue it back,0.751
Prison,Falling Asleep During a Meeting,0.751
On the phone,Trying to convince a toddler you actually stole their nose,0.751
Circus,Trapped in a tent with a friend who won't stop talking,0.751
Clock Tower,Office Holiday Party,0.751
Trailer Park,Negotiating a ride hitchhiking with a very strange driver,0.751
Fire Station,Opening someone else's mail and finding a ransom note,0.751
Laboratory,Explaining why you are wearing sunglasses indoors at night,0.751
Prom,Trying to subtly fire someone who thinks they are getting promoted,0.751
Attic,Rescuing a cat from a tree and getting stuck yourself,0.751
Attic,Performing an Exorcism,0.751
Spaceship,Discovering a Conspiracy,0.751
City,Accidentally sharing your screen during a private rant about the boss,0.751
Bar,Spilling coffee on a priceless piece of art,0.751
Mountain,Navigating a foreign city with a broken map and no language skills,0.751
Lake,Breaking a priceless vase at a museum and trying to glue it back,0.751
Mansion,Muddy Festival Camping,0.751
Airport,Backpacker Cultural Misunderstanding,0.751
Water Park,Navigating a foreign city with a broken map and no language skills,0.751
Nightclub,Getting kicked out of a world-renowned museum,0.751
Airplane,Pretending to be a psychic to scam tourists,0.751
Jungle,Explaining to border control why your suitcase is full of rocks,0.751
Movie Set,Sending an event announcement with a massive typo to the entire university,0.751
Ranch,Walking in on a crime scene,0.751
Black-Tie Event,Refusing to tip because the waiter sneezed,0.751
Igloo,Making a Scene in a Restaurant,0.751
Egyptian Pyramids,Making a Scene in a Restaurant,0.751
Spaceship,Waking up drenched in sweat at a partner's house because their sheets are terrible,0.751
Living Room,Discovering your roommate is a werewolf,0.751
Theater,Attempting to communicate with aliens via interpretive dance,0.751
Limousine,Waking up in a different country with no memory of how you got there,0.751
Pool Hall,Camping Trip Where Everything Goes Wrong,0.751
Prison,Dropping your phone in the toilet while on a video call,0.751
Submarine,Making a Scene in a Restaurant,0.751
Botanical Garden,Spilling coffee on a priceless piece of art,0.751
Submarine,Navigating a foreign city with a broken map and no language skills,0.751
Ancient Library,Getting caught trying to steal a souvenir from a sacred temple,0.751
Pawn Shop,Pretending to be a psychic to scam tourists,0.751
Online,Unplugging life support to charge your phone,0.751
Nursing Home,Backing over your neighbor's prized rose bush,0.751
Ski Resort,Being trapped in a sleeping bag during a bear attack,0.751
Public Restroom,Forgetting to wear pants to a Zoom meeting and standing up,0.751
Empty Lot,Emergency Evacuation,0.751
University Lecture Hall,Opening someone else's mail and finding a ransom note,0.751
Medieval Castle,Hiding under a bed to avoid a conversation,0.751
Cave,Dropping the birthday cake right before singing,0.751
Space Station,Attempting to steal the Declaration of Independence,0.751
Casino,Emergency Evacuation,0.751
Shopping Mall,Passing off store-bought food as your own cooking,0.751
Residential Bathroom,House Party That Got Out of Hand,0.751
Upscale Hotel Lobby,Getting Locked Out,0.751
Post-Apocalyptic World,Trying to start a fire by rubbing two sticks together,0.751
Boardwalk,Lost in Translation,0.751
Airport,Impersonating a tour guide at a museum,0.751
Public Restroom,Muddy Festival Camping,0.751
Online,Eating the last slice of pizza after someone else already claimed it,0.751
Spaceship,Attempting to bring a sword through airport security,0.751
Elevator,Trying to catch a fly with chopsticks,0.751
Black-Tie Event,Defending a terrible outfit choice to the bouncer,0.751
Castle,Getting Locked Out,0.751
Beach,Accidentally hitting a pedestrian with a golf cart,0.751
Police Station,Getting caught building a doomsday device in the garage,0.751
