Location,Scenario,Similarity
Park,Evading Arrest,0.6637
Park,Getting Locked Out,0.6637
Yacht,Trying to sell ice to an Eskimo,0.6636
Carnival,Starting a Bar Fight,0.6636
Skate Park,Performing an Exorcism,0.6636
Car Accident Site,Messy Divorce,0.6636
Clock Tower,Running from the Cops,0.6636
Bowling Alley,Lost in Translation,0.6636
Carnival,Taking a bite out of a decorative wax apple,0.6636
Cemetery,Getting Ghosted,0.6636
Courtroom,Performing an Exorcism,0.6636
Ice Cream Parlor,Getting Friend-Zoned,0.6636
Quarry,Emergency Evacuation,0.6636
Golf Course,Causing a Public Scene,0.6636
Therapist's Office,Arguing Over the Bill,0.6636
Car Accident Site,Alien Abduction Attempt,0.6636
Living Room,Escape Room Disaster,0.6636
White House,Evading Arrest,0.6636
On the phone,Calling a partner by the wrong name during an argument,0.6636
Sporting Event,Discovering a Conspiracy,0.6636
Psychiatric Ward,Impersonating a doctor to get better hospital food,0.6636
Fitness Center,Hiding a Fugitive,0.6636
Trailer Park,Messy Breakup,0.6635
Movie Theater,Starting a Bar Fight,0.6635
Ice Cave,Office Holiday Party,0.6635
Underwater,Starting a Cult,0.6635
Convenience Store,Running into an Ex,0.6635
Ghost Town,Starting a Bar Fight,0.6635
Black-Tie Event,Getting Locked Out,0.6635
Prison Cell,Messy Divorce,0.6635
Coral Reef,Running Out of Gas,0.6635
Airport,Losing Your Passport,0.6635
Old Pick-Up Truck,Getting Ghosted,0.6635
War Zone,Messy Divorce,0.6635
Bridge,Ruining the Bride's Dress,0.6635
Beach Party,Alien Abduction Attempt,0.6635
Dorm Room,Awkward First Kiss,0.6635
Antiques Shop,Causing a Public Scene,0.6635
Ocean Floor,Solving a Murder,0.6635
Castle,Negotiating a Ransom,0.6635
Graveyard,Emergency Evacuation,0.6634
Hardware Store,Running from the Cops,0.6634
Hospital Room,Dealing with a Karen,0.6634
Waiting Room,Sneaking into a celebrity's dressing room,0.6634
Race Track (Horses),Extreme Jet Lag,0.6634
Clock Tower,Murder Mystery Dinner,0.6634
Bank,Lost in Translation,0.6634
House Fire,Dealing with a Karen,0.6634
Courthouse,Speed Dating,0.6634
Police Station,Stealing a police car while sleepwalking,0.6634
Ambulance,Alien Abduction Attempt,0.6634
Small Town,Trying to sell ice to an Eskimo,0.6634
Ghost Town,Quitting a gang by submitting a formal letter of resignation,0.6634
Barbershop,Lost in Translation,0.6634
Amusement Park,Negotiating a Ransom,0.6634
Car Wash,Lost in Translation,0.6634
Cabin In The Woods,Falling asleep at the wheel of a parked car and screaming when you wake up,0.6634
Park,Trying to escape a maze,0.6634
Rock Concert,Getting Stood Up,0.6634
Therapist's Office,Spilling a Dark Secret,0.6634
Carnival,Lads/Girls Holiday Vibe,0.6634
Apartment Building,Running Out of Gas,0.6634
Halloween Party,3am Drunk Food Run,0.6633
Museum,Starting a Cult,0.6633
Therapist's Office,Investigating a Haunting,0.6633
Black-Tie Event,Running from the Cops,0.6633
Rock Concert,Starting a Cult,0.6633
Rock Concert,Hiding a Fugitive,0.6633
Construction Site,Scamming the Scammer,0.6633
Hot Springs,Evading Arrest,0.6633
Tattoo Parlor,Escape Room Disaster,0.6633
On the phone,Investigating a Haunting,0.6633
Online,Emergency Evacuation,0.6633
Video Arcade,Cheating at a Board Game,0.6633
Skate Park,Extreme Jet Lag,0.6633
Bank Vault,Attempting to steal the Declaration of Independence,0.6633
City,Evading Arrest,0.6633
On the phone,Double Booking a Date,0.6633
Ambulance,Trying to escape a maze,0.6633
Coral Reef,Causing a Public Scene,0.6633
War Zone,Getting Stood Up,0.6632
Greenhouse,Speed Dating,0.6632
Boarding School,Trying to escape a maze,0.6632
Canal,Negotiating a Ransom,0.6632
Brewery,Starting a Cult,0.6632
Train Station,First Day at a New Job,0.6632
Virtual Reality World,High-Stakes Poker Game,0.6632
Bank Vault,Starting a Bar Fight,0.6632
Psychiatric Ward,Messy Divorce,0.6632
Principal's Office,Solving a Murder,0.6632
Graveyard,Accidentally destroying a child's sandcastle masterpiece,0.6632
Rooftop,Speed Dating,0.6632
Bakery,Dealing with a Karen,0.6632
Car Accident Site,Running into an Ex,0.6632
Nature Hike,Running from the Cops,0.6632
On the phone,Explaining why you are wearing sunglasses indoors at night,0.6632
Salvage Yard,Starting a Bar Fight,0.6632
Spaceship,Falling asleep at the wheel of a parked car and screaming when you wake up,0.6632
Small Town,3am Drunk Food Run,0.6632
Taxi,Trying to sell ice to an Eskimo,0.6632
Car Wash,Running from the Cops,0.6631
Taxi,Pretending to be a psychic to scam tourists,0.6631
Mountain,Running Out of Gas,0.6631
Bank,Arguing with a Bouncer,0.6631
Jewelry Store,Planning a Bank Heist,0.6631
Police Station,Speed Dating,0.6631
Graveyard,Getting caught taking selfies at a somber historical monument,0.6631
Salvage Yard,Running from the Cops,0.6631
Haunted House,Dealing with a Karen,0.6631
Pawn Shop,Alien Abduction Attempt,0.6631
Ambulance,Lost in Translation,0.6631
Spaceship,Attempting to communicate with aliens via interpretive dance,0.6631
Virtual Reality World,Epic Prank War,0.6631
Military Helicopter,Office Holiday Party,0.6631
Psychiatric Ward,Arguing Over the Bill,0.6631
Secret Passageway,Messy Breakup,0.6631
Taxi Cab,Getting Ghosted,0.6631
White House,Backing over your neighbor's prized rose bush,0.6631
Video Arcade,Running from the Cops,0.663
Horse Racing Track,First Day at a New Job,0.663
Black-Tie Event,Awkward Morning After,0.663
Fitness Center,Extreme Jet Lag,0.663
Backyard,Emergency Evacuation,0.663
Virtual Reality World,Speed Dating,0.663
Quarry,Trying to sell ice to an Eskimo,0.663
Halloween Party,Lads/Girls Holiday Vibe,0.663
Tattoo Parlor,Speed Dating,0.663
Laundromat,Lost in Translation,0.663
Rock Concert,Selling fake concert tickets,0.663
Dragon's Lair,Delivering a pizza to a supervillain's secret lair,0.663
Police Car,Running into an Ex,0.663
Online,Running from the Cops,0.663
Virtual Reality World,Faking expertise in a high-level technical meeting,0.663
Dungeon,Starting a Cult,0.663
Cemetery,Using a t-shirt cannon at a funeral,0.663
Haunted House,Bumping into a Celebrity,0.6629
Castle,Lost in Translation,0.6629
Bus Station,Lost in Translation,0.6629
Casino,Trying to sell ice to an Eskimo,0.6629
Movie Theater,Trying to escape a maze,0.6629
Underwater,Solving a Murder,0.6629
Waiting Room,Witnessing a bank robbery and asking for an autograph,0.6629
Tropical Resort,Office Holiday Party,0.6629
Prison,Falling asleep at the wheel of a parked car and screaming when you wake up,0.6629
Shopping Mall,Negotiating a Ransom,0.6629
Green Room,Performing an Exorcism,0.6629
Abandoned Mine,Messy Breakup,0.6629
Hotel Room,Staging an Intervention,0.6628
Run-Down Apartment,Scamming the Scammer,0.6628
Haunted House,Staging an Intervention,0.6628
Taxi,Alien Abduction Attempt,0.6628
Lake House,Messy Divorce,0.6628
Barn,Trying to escape a maze,0.6628
Halloween Party,After-Party That Won't End,0.6628
Carnival Funhouse,Emergency Evacuation,0.6628
Small Town Street,Evading Arrest,0.6628
Convenience Store,Discovering a Conspiracy,0.6628
Camp,Lost in Translation,0.6628
Penthouse Suite,Performing an Exorcism,0.6628
Nightclub,3am Drunk Food Run,0.6628
Hardware Store,Starting a Cult,0.6628
Prison Cell,Investigating a Haunting,0.6628
Pawn Shop,Office Holiday Party,0.6628
Thrift Store,Finding a treasure map on the back of a fast-food receipt,0.6628
Halloween Party,Getting Ghosted,0.6628
Boardwalk,Emergency Evacuation,0.6628
County Fair,Lost in Translation,0.6628
Cruise Ship,Solving a Murder,0.6627
Forest,Trying to sell ice to an Eskimo,0.6627
Airport,Speed Dating,0.6627
Tree House,Evading Arrest,0.6627
Coral Reef,Trying to escape a maze,0.6627
Hardware Store,Amateur Ghost Hunting,0.6627
Horse Racing Track,Office Holiday Party,0.6627
Penthouse Suite,Hiding a Fugitive,0.6627
Coral Reef,Office Holiday Party,0.6627
Police Car,Speed Dating,0.6627
Pawn Shop,Solving a Murder,0.6627
Convenience Store,Finding a treasure map on the back of a fast-food receipt,0.6627
Spaceship,Breaking a priceless vase at a museum and trying to glue it back,0.6627
Ancient Library,Hacking a Secure System,0.6627
Halloween Party,Escaping a boring party by crawling through a vent,0.6627
Backyard,Dealing with a Karen,0.6626
Library,Discovering a secret room behind a bookcase,0.6626
Farmer's Market,Starting a Cult,0.6626
Nightclub,Sneaking into a celebrity's dressing room,0.6626
Post-Apocalyptic World,Awkward Morning After,0.6626
Halloween Party,Getting Friend-Zoned,0.6626
Dystopian World,Messy Divorce,0.6626
Public Restroom,Speed Dating,0.6626
University Quad,Trying to escape a maze,0.6626
Apartment Building,Arguing with a Bouncer,0.6626
On the phone,Escaping a bad blind date by faking an alien abduction,0.6626
Small Town,Awkward First Kiss,0.6626
Funeral Home,Negotiating a Ransom,0.6626
Nursing Home,Hacking a Secure System,0.6626
Secret Passageway,Arguing with a Bouncer,0.6626
Taxi Cab,Arguing Over the Bill,0.6626
Pool Hall,Planning a Bank Heist,0.6626
Bank,Solving a Murder,0.6626
Salvage Yard,Getting Stood Up,0.6626
Ice Cave,Speed Dating,0.6626
Hospital Room,Extreme Jet Lag,0.6625
Alley,Causing a Public Scene,0.6625
Mechanic's Shop,Trying to escape a maze,0.6625
Empty Lot,Negotiating a Ransom,0.6625
Movie Theater,Planning a Bank Heist,0.6625
Farm,Starting a Cult,0.6625
City,Speed Dating,0.6625
Cruise Ship,Cult Initiation Ceremony,0.6625
Caravan,Lost in Translation,0.6625
Robot Factory,Emergency Evacuation,0.6625
Wine Cellar,Starting a Cult,0.6625
Sporting Event,Getting Friend-Zoned,0.6625
Ballroom,Arguing with a Bouncer,0.6625
Construction Site,Firing a Friend,0.6625
Hunting Cabin,Getting Stood Up,0.6625
Crystal Cave,Solving a Murder,0.6625
Restaurant,Accidentally giving a five-star review to a terrible restaurant,0.6625
Workshop,Cult Initiation Ceremony,0.6625
Hardware Store,Solving a Murder,0.6625
Cemetery,Amateur Ghost Hunting,0.6624
Shopping Mall,Hiding in a retail store until after it closes,0.6624
Police Station,Dealing with a Karen,0.6624
Living Room,Spilling red wine on a white carpet,0.6624
Living Room,Starting a Bar Fight,0.6624
Rock Concert,Explaining to border control why your suitcase is full of rocks,0.6624
Skate Park,Epic Prank War,0.6624
Space Station,Defending a flat-earth theory at a NASA conference,0.6624
Executive's Office,Hiding a Fugitive,0.6624
Workshop,Negotiating a Ransom,0.6624
Black-Tie Event,Asking for a Demotion,0.6624
Nightclub,Trying to escape a maze,0.6624
Nursery,Emergency Evacuation,0.6624
White House,Arguing Over the Bill,0.6624
Medieval Castle,Getting Friend-Zoned,0.6624
Pawn Shop,Starting a Cult,0.6624
Botanical Garden,Backing over your neighbor's prized rose bush,0.6623
Nursing Home,Firing a Friend,0.6623
Carnival,Arguing with a Bouncer,0.6623
Bowling Alley,Running from the Cops,0.6623
Cruise Ship,Negotiating a Ransom,0.6623
Bonfire,Speed Dating,0.6623
Living Room,Getting Ghosted,0.6623
Black-Tie Event,Investigating a Haunting,0.6623
Virtual Reality World,Staging an Intervention,0.6623
Abandoned Mine,Finding a treasure map on the back of a fast-food receipt,0.6623
Halloween Party,Interrupting a Wedding,0.6623
Secret Passageway,Epic Prank War,0.6623
Battlefield,Running from the Cops,0.6623
Emergency Room,Stranded with No Signal,0.6623
Maze,Speed Dating,0.6623
House Fire,Trying to escape a maze,0.6623
Cruise Ship,Hiding a Fugitive,0.6623
Motel,Destroying a luxury hotel room by accident,0.6622
Coffeehouse,Speed Dating,0.6622
Black-Tie Event,Faking expertise in a high-level technical meeting,0.6622
Pool Hall,Arguing Over the Bill,0.6622
Fire Station,Speed Dating,0.6622
Secret Passageway,Finding a treasure map on the back of a fast-food receipt,0.6622
Greenhouse,Trying to sell ice to an Eskimo,0.6622
Bridge,Backing over your neighbor's prized rose bush,0.6622
Pet Store,Emergency Evacuation,0.6622
Woods,Getting Locked Out,0.6622
Bowling Alley,Getting Friend-Zoned,0.6622
Pharmacy,Negotiating a Ransom,0.6622
Newsroom,Discovering a secret room behind a bookcase,0.6622
Sporting Event,Getting Ghosted,0.6622
Volcano,Performing an Exorcism,0.6622
Carnival,Bumping into a Celebrity,0.6622
Shopping Mall,Starting a Cult,0.6621
Casino,Trying to escape a maze,0.6621
On the phone,Telling a crying child that life isn't fair,0.6621
Clock Tower,Running Out of Gas,0.6621
Tree House,Solving a Murder,0.6621
Empty Lot,Getting Lost Without a Map,0.6621
Apartment Building,Trying to escape a maze,0.6621
Deli,Speed Dating,0.6621
Bowling Alley,Getting Locked Out,0.6621
Construction Site,Messy Divorce,0.6621
Island,Taking a bite out of a decorative wax apple,0.6621
College Campus,Lost in Translation,0.6621
Forest,Running from the Cops,0.6621
Psychiatric Ward,Amateur Ghost Hunting,0.6621
Man Cave,Amateur Ghost Hunting,0.6621
Space Station,First Day at a New Job,0.6621
Movie Theater,Getting Locked Out,0.6621
Police Car,Planning a Bank Heist,0.6621
Limousine,Running Out of Gas,0.662
Teacher's Lounge,Speed Dating,0.662
Space Station,Staging an Intervention,0.662
Executive's Office,Flirting with the Boss,0.662
Tree House,Getting Friend-Zoned,0.662
Abandoned Mine,Firing a Friend,0.662
Zoo,Negotiating a Ransom,0.662
Salvage Yard,Messy Divorce,0.662
Bank Vault,Bomb Defusal Under Pressure,0.662
Cruise Ship,Getting Locked Out,0.662
Casual Dining Restaurant,Bumping into a Celebrity,0.662
Pond,Speed Dating,0.662
Sporting Event,Faking expertise in a high-level technical meeting,0.662
Cheap Motel,Office Holiday Party,0.662
Trailer Park,Bumping into a Celebrity,0.662
City Bus,Losing Your Passport,0.662
Church,Emergency Evacuation,0.662
Frozen Tundra,Getting Locked Out,0.662
Cabin In The Woods,Interrupting a Wedding,0.6619
Elevator,Asking for a Demotion,0.6619
Executive's Office,High-Stakes Poker Game,0.6619
Sporting Event,Planning a Bank Heist,0.6619
Mechanic's Shop,Backing over your neighbor's prized rose bush,0.6619
Dorm Room,Trying to escape a maze,0.6619
Bowling Alley,Trying to escape a maze,0.6619
Nursing Home,Trying to sell ice to an Eskimo,0.6619
Recording Studio,Escape Room Disaster,0.6619
Elevator,Hiding a Fugitive,0.6619
Dorm Room,Starting a Bar Fight,0.6619
Limousine,Lost in Translation,0.6619
Psychiatric Ward,Spilling a Dark Secret,0.6619
Halloween Party,Amateur Ghost Hunting,0.6618
Recording Studio,Evading Arrest,0.6618
Living Room,Getting Stood Up,0.6618
Cavern,Causing a Public Scene,0.6618
Therapist's Office,Arguing with a Bouncer,0.6618
Living Room,Hiding a Fugitive,0.6618
Quarry,Trying to escape a maze,0.6618
Farmer's Market,Getting Locked Out,0.6618
Beach Party,Awkward Blind Date,0.6618
Arctic Tundra,Discovering a Conspiracy,0.6618
Graveyard,Getting Locked Out,0.6618
Fast Food Restaurant,Getting Stood Up,0.6618
Underwater City,Dropping the bride's ring down a sewer grate,0.6618
Convenience Store,Getting Stood Up,0.6618
Nightclub,Stealing the microphone at a karaoke bar,0.6618
Egyptian Pyramids,Solving a Murder,0.6617
Carnival Funhouse,Office Holiday Party,0.6617
Caravan,Evading Arrest,0.6617
Cave,Explaining to border control why your suitcase is full of rocks,0.6617
River,Trying to escape a maze,0.6617
Beach House,Emergency Evacuation,0.6617
Liquor Store,Performing an Exorcism,0.6617
Coral Reef,Starting a Cult,0.6617
Post-Apocalyptic World,Amateur Ghost Hunting,0.6617
Truck Stop,Finding a treasure map on the back of a fast-food receipt,0.6617
Water Park,Dealing with a Karen,0.6617
Beach Party,Ruining a child's birthday party with an inappropriate magic trick,0.6617
Laundromat,Emergency Evacuation,0.6617
Snowy Mountain Peak,Trying to sell ice to an Eskimo,0.6617
College Campus,"Calling your teacher ""Mom"" during a college lecture",0.6617
Rainforest,Emergency Evacuation,0.6617
Chicken Coop,Causing a Public Scene,0.6617
Fast Food Restaurant,Getting Locked Out,0.6617
Forest,Hiding a Fugitive,0.6617
Therapist's Office,Bumping into a Celebrity,0.6617
Construction Site,Arguing with a Bouncer,0.6617
Church,Causing a Public Scene,0.6617
Farmer's Market,Office Holiday Party,0.6617
Post-Apocalyptic World,First Day at a New Job,0.6617
Dorm Room,Getting Ghosted,0.6617
Online,Trying to start a fire by rubbing two sticks together,0.6616
Canal,Running Out of Gas,0.6616
Nursing Home,Arguing Over the Bill,0.6616
Abandoned Warehouse,Solving a Murder,0.6616
Nightclub,Trying to sell ice to an Eskimo,0.6616
Skate Park,Office Holiday Party,0.6616
Pawn Shop,Amateur Ghost Hunting,0.6616
Spaceship,Evading Arrest,0.6616
Casual Dining Restaurant,Finding a treasure map on the back of a fast-food receipt,0.6616
Frozen Tundra,Running from the Cops,0.6616
Taxi Cab,Office Holiday Party,0.6616
